,time_period,rainfall,mean_temperature,disease_cases,population,location
30,2003-07,0.0,24.26356410980225,5.0,313536.0,11004
31,2003-08,0.0,23.8875665664673,3.0,313536.0,11004
32,2003-09,0.0,25.39177322387695,3.0,313536.0,11004
33,2003-10,0.0,26.6601333618164,6.0,313536.0,11004
34,2003-11,0.0,26.1242027282715,8.0,313536.0,11004
35,2003-12,0.0,25.897694587707548,19.0,313536.0,11004
36,2004-01,0.0,26.0353479385376,49.0,326590.0,11004
37,2004-02,0.0,25.67716884613035,95.0,326590.0,11004
38,2004-03,0.0,25.9927835464478,104.0,326590.0,11004
39,2004-04,0.0,26.7108898162842,18.0,326590.0,11004
40,2004-05,0.0,24.8822422027588,9.0,326590.0,11004
41,2004-06,0.0,24.72961902618405,1.0,326590.0,11004
42,2004-07,0.0,24.66771888732915,1.0,326590.0,11004
43,2004-08,0.0,26.1955041885376,3.0,326590.0,11004
44,2004-09,0.0,26.6409692764282,8.0,326590.0,11004
45,2004-10,0.0,28.02961349487305,14.0,326590.0,11004
46,2004-11,0.0,27.1590795516968,172.0,326590.0,11004
47,2004-12,0.0,26.18592548370365,128.0,326590.0,11004
48,2005-01,0.0,26.397500038147,217.0,323208.0,11004
49,2005-02,0.0,26.279044151306152,255.0,323208.0,11004
50,2005-03,0.0,26.00710105895995,328.0,323208.0,11004
51,2005-04,0.0,26.0694885253906,100.0,323208.0,11004
52,2005-05,0.0,26.0025463104248,32.0,323208.0,11004
53,2005-06,0.0,25.113676071167,17.0,323208.0,11004
54,2005-07,0.0,24.661019325256348,26.0,323208.0,11004
55,2005-08,0.0,26.327112197875948,14.0,323208.0,11004
56,2005-09,0.0,25.5591125488281,11.0,323208.0,11004
57,2005-10,0.0,26.8213014602661,11.0,323208.0,11004
58,2005-11,0.0,26.919135093689,79.0,323208.0,11004
59,2005-12,0.0,25.4938678741455,201.0,323208.0,11004
60,2006-01,0.0,26.31120681762696,1019.0,326630.0,11004
61,2006-02,0.0,25.852562904357903,784.0,326630.0,11004
62,2006-03,0.0,25.87977313995365,192.0,326630.0,11004
63,2006-04,0.0,25.637877464294448,31.0,326630.0,11004
64,2006-05,0.0,25.62488555908205,18.0,326630.0,11004
65,2006-06,0.0,25.1515197753906,15.0,326630.0,11004
66,2006-07,0.0,25.2584772109985,1.0,326630.0,11004
67,2006-08,0.0,25.4598989486694,1.0,326630.0,11004
68,2006-09,0.0,26.05787372589115,3.0,326630.0,11004
69,2006-10,0.0,27.36417293548585,9.0,326630.0,11004
70,2006-11,0.0,26.24091720581055,11.0,326630.0,11004
71,2006-12,0.0,25.6714057922363,46.0,326630.0,11004
72,2007-01,0.0,26.0364065170288,39.0,286631.0,11004
73,2007-02,0.0,25.797456741333,46.0,286631.0,11004
74,2007-03,0.0,25.46373462677005,77.0,286631.0,11004
75,2007-04,0.0,26.37473487854005,61.0,286631.0,11004
76,2007-05,0.0,23.96226406097415,22.0,286631.0,11004
77,2007-06,0.0,24.97188091278075,19.0,286631.0,11004
78,2007-07,0.0,24.63510131835935,8.0,286631.0,11004
79,2007-08,0.0,24.6528015136719,4.0,286631.0,11004
80,2007-09,0.0,27.0473890304565,1.0,286631.0,11004
81,2007-10,0.0,27.037370681762702,17.0,286631.0,11004
82,2007-11,0.0,26.62490940093995,38.0,286631.0,11004
83,2007-12,0.0,25.38994216918945,45.0,286631.0,11004
84,2008-01,0.0,25.2692575454712,117.0,295034.0,11004
85,2008-02,0.0,25.3103542327881,184.0,295034.0,11004
86,2008-03,0.0,25.19822692871095,243.0,295034.0,11004
87,2008-04,0.0,25.40909099578856,85.0,295034.0,11004
88,2008-05,0.0,24.2263374328613,35.0,295034.0,11004
89,2008-06,0.0,23.2893772125244,9.0,295034.0,11004
90,2008-07,0.0,25.30166244506835,1.0,295034.0,11004
91,2008-08,0.0,26.61360645294189,8.0,295034.0,11004
92,2008-09,0.0,25.8250722885132,5.0,295034.0,11004
93,2008-10,0.0,27.5157461166382,3.0,295034.0,11004
94,2008-11,0.0,26.6726379394531,11.0,295034.0,11004
95,2008-12,0.0,25.56983375549315,28.0,295034.0,11004
96,2009-01,0.0,25.3758087158203,89.0,294006.0,11004
97,2009-02,0.0,25.4065704345703,214.0,294006.0,11004
98,2009-03,0.0,25.6019525527954,311.0,294006.0,11004
99,2009-04,0.0,26.0263986587524,160.0,294006.0,11004
100,2009-05,0.0,25.437131881713903,51.0,294006.0,11004
101,2009-06,0.0,23.8773365020752,44.0,294006.0,11004
102,2009-07,0.0,24.84156608581545,38.0,294006.0,11004
103,2009-08,0.0,26.15402030944825,69.0,294006.0,11004
104,2009-09,0.0,26.4221057891846,90.0,294006.0,11004
105,2009-10,0.0,27.41288566589355,541.0,294006.0,11004
106,2009-11,0.0,27.03675937652585,2028.0,294006.0,11004
107,2009-12,0.0,25.434161186218248,1785.0,294006.0,11004
108,2010-01,0.0,25.7042350769043,1309.0,295494.0,11004
109,2010-02,0.0,26.08179092407225,375.0,295494.0,11004
110,2010-03,0.0,26.4495820999146,220.0,295494.0,11004
111,2010-04,0.0,26.262135505676248,176.0,295494.0,11004
112,2010-05,0.0,24.73781776428225,40.0,295494.0,11004
113,2010-06,0.0,25.195567131042505,8.0,295494.0,11004
114,2010-07,0.0,24.3935832977295,6.0,295494.0,11004
115,2010-08,0.0,25.517239570617697,11.0,295494.0,11004
116,2010-09,0.0,27.463586807251,7.0,295494.0,11004
117,2010-10,0.0,27.1495056152344,22.0,295494.0,11004
118,2010-11,0.0,26.0238380432129,100.0,295494.0,11004
119,2010-12,0.0,25.85841464996335,269.0,295494.0,11004
120,2011-01,0.0,25.47233390808105,77.0,294803.0,11004
121,2011-02,0.0,25.20225620269775,74.0,294803.0,11004
122,2011-03,0.0,25.2954225540161,83.0,294803.0,11004
123,2011-04,0.0,26.2407455444336,42.0,294803.0,11004
124,2011-05,0.0,25.09419441223145,7.0,294803.0,11004
125,2011-06,0.0,25.324387550354,1.0,294803.0,11004
126,2011-07,0.0,25.52095699310305,2.0,294803.0,11004
127,2011-08,0.0,25.588924407959,18.0,294803.0,11004
128,2011-09,0.0,27.26023101806645,29.0,294803.0,11004
129,2011-10,0.0,27.187912940979,10.0,294803.0,11004
130,2011-11,0.0,26.663444519043,1.0,294803.0,11004
